reporting_year,action_id,budget_area_code,action_type_code,financing_code,status_code,project_name,total_cost_czk,adjusted_budget_czk,paid_czk,sfdi_paid_czk,eu_paid_czk,region_code,investor_name,investor_ico,investor_address,start_period,end_period,source_url
2024,5001560009,60,a6,N,R-D,Systém hospodaření s vozovkou pro potřeby ŘSD ČR,189984000.00,6248000.00,6247374.20,6247374.20,0.00,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",01/20,12/21,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5001760007,60,m,M,M,Telematika - investice CEF,29663000.00,2000000.00,1442313.74,1442313.74,0.00,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5001760010,60,m,T6,M,ITS Dopravní telematika,200000000.00,118516487.00,0.00,0.00,0.00,BAL,Žadatel,11111111,",",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5001760011,50,m,KP,M,NAPCORE - NIV,25904000.00,11383000.00,10345402.60,4750983.10,5594419.50,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5002510001,60,b1,P,OST,Křížení - místní a účelové komunikace,400000000.00,70072.83,0.00,0.00,0.00,BAL,Žadatel,11111111,",",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5002510002,60,b1,G,G,Příspěvky obcím - křížení komunikací (inv.)- PŘEVODY,0.00,460282.10,0.00,0.00,0.00,BAL,ROZPOČET - dorovnání,,",",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003110001,50,c1,U,U1,Správa železnic celostátní a reg. dráhy - opravy a údržba,19455981000.00,19455981000.00,19455981000.00,19455981000.00,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003120008,50,c1,G,G,Drobné neinvestiční výdaje,32667000.00,32667000.00,31975192.95,31975192.95,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003120014,50,c1,U,U2,Provozování dráhy,3895000000.00,3895000000.00,3895000000.00,3895000000.00,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003130004,50,c2,U,U1,"Opravy a údržba regionálních drah v úseku Petrov n. Desnou-Kouty n. Desnou, Šumperk-Petrov-Sobotín",37000000.00,37000000.00,36999981.88,36999981.88,0.00,BAL,SART-stavby a rekonstrukce a.s.,25898671,"Uničovská 2944/1 B, Šumperk  78701",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003140003,50,c3,G,GP,Neinvestiční příprava a zabezpečení žel. infrastruktury,64966000.00,64966000.00,64960713.24,64960713.24,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003230001,50,c2,U,U1,Údržba a opravy regionální dráhy Česká Kamenice - Kamenický Šenov,1895000.00,1895000.00,1895000.00,1895000.00,0.00,BAL,"KŽC Doprava, s.r.o.",27423069,"Meinlinova 336, Praha 9 - Koloděje  19016",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003420006,50,c1,N,G,Financování dopravní infrastruktury ve vlastnictví státu v souvislosti s povodněmi 2024,0.00,3744019000.00,0.00,0.00,0.00,BAL,Žadatel,11111111,",",,,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003420006,60,c1,N,G,Financování dopravní infrastruktury ve vlastnictví státu v souvislosti s povodněmi 2024,0.00,1455981000.00,0.00,0.00,0.00,BAL,Žadatel,11111111,",",,,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003510007,60,c1,PO1.1,R-D,GSM-R Votice - České Budějovice,308265000.00,32000.00,31182.38,31182.38,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",02/20,06/23,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520004,60,c1,CEF2,R25,ETCS státní hranice Německo - Dolní Žleb - Kralupy n Vlt.,11828500630.00,3089000.00,3089000.00,3089000.00,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",09/25,03/30,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520028,60,c1,CEFK,R-D,Optimalizace traťového úseku Mstětice (mimo) - Praha-Vysočany (včetně),6845543000.00,895932000.00,895931998.00,797000000.00,98931998.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",05/20,05/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520035,60,c1,G,GP,Příprava 2. etapy majetkoprávního vypořádání ČD a Správy železnic,825000.00,825000.00,824600.00,824600.00,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520044,60,c1,T1,R,ETCS+DOZ Votice - České Budějovice,2267485360.00,100020000.00,100020000.00,32020000.00,68000000.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",10/21,08/25,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520094,60,c1,T5,R-D,GSM-R Pardubice - Hradec Králové - Jaroměř,242902930.00,70209000.00,70207430.75,20516672.46,49690758.29,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",04/22,11/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520095,60,c1,T5,R,ETCS Pardubice (mimo) - Hradec Králové (mimo),194000420.00,132353000.00,132351958.21,22896251.21,109455707.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",11/23,03/25,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520096,60,c1,PO1.1,R-D,GSM-R Chomutov - Cheb,556087000.00,191000.00,190655.60,190655.60,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",06/20,06/23,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520121,60,c1,RRF,R-D,Vstup do oblasti ETCS,206502000.00,1914000.00,1912358.77,20339.77,1892019.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",06/20,11/22,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520126,60,c1,N,R-D,Doplnění redundantního napájení základnových radiostanic GSM-R,37361000.00,217000.00,216309.12,216309.12,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",08/21,10/23,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520139,60,c1,G,G,Pozemní objekty (vybraná síť TEN-T),64636000.00,64636000.00,64623976.57,64623976.57,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520140,60,c1,G,G,Pozemní objekty (mimo síť TEN-T),157139000.00,157139000.00,157128442.59,129985459.42,27142983.17,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520141,60,c1,CEF2,R24,Státní hranice Slovenská republika (Střelná) – Vsetín (mimo) – konverze,2210539000.00,40350000.00,40350000.00,40350000.00,0.00,ZLN,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/26,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520160,60,c1,N,R,Kybernetická bezpečnost Správy železnic,808427000.00,280000000.00,279999515.07,279999515.07,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",04/23,01/26,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520192,60,c1,N,R,Vznik a rozvoj digitálních technických map (DTM) a mapování technické infrastruktury,2245445000.00,400811000.00,400810303.37,400810303.37,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",05/22,12/30,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520206,60,c1,CEF2,R,ETCS Milovice - Praha hl. n. (mimo),346110580.00,41277000.00,41277000.00,3084000.00,38193000.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",06/23,01/26,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520221,60,c1,N,R-D,"Vybavení vybraných stanic a zastávek informačními panely, instalace SMART zastávek",36877000.00,26043000.00,26043000.00,26043000.00,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",06/23,06/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520231,60,c1,N,R26,"Sanace nestabilního úseku Valašská Polanka – Horní Lideč v km 20,019 – 21,248",749625000.00,15656000.00,15655620.60,15655620.60,0.00,ZLN,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/26,05/27,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520244,60,c1,G,G,Informační systémy Správy železnic,381925000.00,381925000.00,381916710.96,299992592.96,81924118.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520248,60,c1,N,R24,Zajištění stability svahů náspů v úseku Kozolupy - Mariánské Lázně na trati Plzeň - Cheb,225847000.00,42750000.00,42750000.00,42750000.00,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",07/24,06/25,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520256,60,o,N,R,Instalace vozidlové části ETCS na HV řady 749,45000000.00,37815300.00,0.00,0.00,0.00,BAL,"KŽC Doprava, s.r.o.",27423069,"Meinlinova 336, Praha 9 - Koloděje  19016",01/22,03/23,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520257,60,o,N,R24,Instalace vozidlové části ETCS na HV řady 813.2,43800000.00,23690500.00,8233786.29,8233786.29,0.00,PRH,"KŽC Doprava, s.r.o.",27423069,"Meinlinova 336, Praha 9 - Koloděje  19016",07/24,11/25,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520258,60,o,N,R,Instalace vozidlové části ETCS na HV řady 830/831,45000000.00,31065300.00,0.00,0.00,0.00,BAL,"KŽC Doprava, s.r.o.",27423069,"Meinlinova 336, Praha 9 - Koloděje  19016",01/22,03/23,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520265,60,c1,G,G,Prosté rekonstrukce,2594019000.00,2594019000.00,2594016183.92,2594016183.92,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003520267,60,c1,G,G,Modernizace a obnova materiálně technické základny,278400000.00,278400000.00,278400000.00,278400000.00,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003540004,60,c3,G,GP,Příprava akcí rychlých spojení,558105000.00,558105000.00,558102523.78,558102523.78,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003540011,60,c3,G,G,Modernizace a obnova materiálně technické základny,874178000.00,874178000.00,874167020.51,874167020.51,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003540035,60,o,N,R,Vybavení vybraných vozidel systémem ETCS - příspěvek,664988000.00,128250000.00,128250000.00,128250000.00,0.00,PRH,"České dráhy, a.s.",70994226,"Nábřeží L. Svobody 1222, Praha 1  11015",03/19,12/23,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003540037,60,o,N,R,Zabezpečovací systém ETCS pro lokomotivy PKPCI - retrofitting 753.7 - příspěvek,68820000.00,47250000.00,33750000.00,33750000.00,0.00,BAL,PKP CARGO INTERNATIONAL a.s.,47675977,"Betonářská 580/14, Ostrava  71200",01/22,03/23,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003540038,60,o,N,R,Vybavení ETCS pro jednotky Stadler Flirt společnosti Leo Express s.r.o. - příspěvek,119366000.00,51301015.00,27702548.10,27702548.10,0.00,PRH,Leo Express s.r.o.,06661572,"Řehořova 908/4, Praha  13000",10/22,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003540039,60,o,N,R,Vybavení železničního vozidla Unipetrol Doprava jednotkou ETCS - příspěvek,78621000.00,6750000.00,0.00,0.00,0.00,BAL,ORLEN Unipetrol Doprava s.r.o.,64049701,"Růžodol 4, Litvínov  43600",09/21,12/22,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003540050,60,o,N,R,"Vybavení vybraných lokomotiv ČD Cargo, a.s. mobilní částí systému ETCS L2B3",225428781.00,60695100.74,12333221.63,12333221.63,0.00,BAL,"ČD Cargo, a.s.",28196678,"Jankovcova 1569/2c, Praha 7 - Holešovice  17000",09/21,12/22,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003720018,60,c1,T5,R24,"Modernizace trati Hradec Králové - Pardubice - Chrudim, 2. stavba, zdvoukolejnění Opatovice nad Labem - Hradec Králové, 1. etapa ŽST Hradec Králové hl.n.",12233943700.00,83835000.00,83825777.93,83825777.93,0.00,KHR,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",12/24,12/30,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003720028,60,c1,CEFK,R-D,ETCS Plzeň (mimo) - Cheb,1040433000.00,7148000.00,7148000.00,7148000.00,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",11/19,12/23,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003720030,60,c1,PO1.1,R-D,GSM-R Ústí n.L. – Chomutov,671178000.00,557000.00,556438.92,556438.92,0.00,UST,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",11/20,12/23,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003720045,60,c1,CEFK,R-D,ETCS Přerov - Česká Třebová,425706000.00,150000.00,149626.98,149626.98,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",08/18,10/23,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003720046,60,c1,CEFK,R,ETCS Beroun - Plzeň,555645000.00,6756000.00,6756000.00,6756000.00,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",12/21,05/27,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003720063,60,c1,G,GP,Příprava a zabezpečení staveb - CEF,798978000.00,798978000.00,798956038.88,588311045.08,210644993.80,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003720064,60,c3,G,GP,Příprava akcí rychlých spojení - CEF2,238119000.00,238119000.00,238107456.05,145752828.16,92354627.89,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003730006,60,c1,N,R24,Revitalizace trati Chlumec nad Cidlinou - Trutnov,2036035030.00,494000000.00,494000000.00,494000000.00,0.00,KHR,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",03/24,07/28,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003730012,60,c2,RRF,R-D,Revitalizace trati Lovosice - Česká Lípa,1237928000.00,11530000.00,11530000.00,11530000.00,0.00,BAL,"Správa železnic, státní organizace",70994234,"Dlážděná 1003/7, Praha 1  11000",11/21,11/22,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5003740019,60,o,CEF2,G,Vybavení drážních vozidel palubními jednotkami ETCS,1646788000.00,1646788000.00,0.00,0.00,0.00,BAL,Žadatel,11111111,",",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
