institution_id,amount,basis,certainty,note
school:75034492,18691069,realized,observed,FIN 2-01 PO account 672/673; school IČO 75034492
school:75033445,4476465,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033445
school:70993432,5518435,realized,observed,FIN 2-01 PO account 672/673; school IČO 70993432
school:70996857,6900523,realized,observed,FIN 2-01 PO account 672/673; school IČO 70996857
school:70990662,10192848,realized,observed,FIN 2-01 PO account 672/673; school IČO 70990662
school:71004670,61029305,realized,observed,FIN 2-01 PO account 672/673; school IČO 71004670
school:71004696,22095562,realized,observed,FIN 2-01 PO account 672/673; school IČO 71004696
school:75031671,16148134,realized,observed,FIN 2-01 PO account 672/673; school IČO 75031671
school:71001174,12896397,realized,observed,FIN 2-01 PO account 672/673; school IČO 71001174
school:71006648,18770760,realized,observed,FIN 2-01 PO account 672/673; school IČO 71006648
school:70995222,3180063,realized,observed,FIN 2-01 PO account 672/673; school IČO 70995222
school:75033364,21444210,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033364
school:75033402,22812808,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033402
school:71225528,7186505,realized,observed,FIN 2-01 PO account 672/673; school IČO 71225528
school:75031485,3981916,realized,observed,FIN 2-01 PO account 672/673; school IČO 75031485
school:70998507,2928903,realized,observed,FIN 2-01 PO account 672/673; school IČO 70998507
school:00498653,32227298,realized,observed,FIN 2-01 PO account 672/673; school IČO 00498653
school:47559217,55583604,realized,observed,FIN 2-01 PO account 672/673; school IČO 47559217
school:47514213,30927893,realized,observed,FIN 2-01 PO account 672/673; school IČO 47514213
school:47514230,9292299,realized,observed,FIN 2-01 PO account 672/673; school IČO 47514230
school:47515597,38347202,realized,observed,FIN 2-01 PO account 672/673; school IČO 47515597
school:47515601,62578474,realized,observed,FIN 2-01 PO account 672/673; school IČO 47515601
school:47515767,39485241,realized,observed,FIN 2-01 PO account 672/673; school IČO 47515767
school:47515775,84097762,realized,observed,FIN 2-01 PO account 672/673; school IČO 47515775
school:47515996,34567732,realized,observed,FIN 2-01 PO account 672/673; school IČO 47515996
school:47515911,26331655,realized,observed,FIN 2-01 PO account 672/673; school IČO 47515911
school:47559268,27045518,realized,observed,FIN 2-01 PO account 672/673; school IČO 47559268
school:47558130,30463919,realized,observed,FIN 2-01 PO account 672/673; school IČO 47558130
school:47558156,61714927,realized,observed,FIN 2-01 PO account 672/673; school IČO 47558156
school:47558181,4907647,realized,observed,FIN 2-01 PO account 672/673; school IČO 47558181
school:47558229,75761800,realized,observed,FIN 2-01 PO account 672/673; school IČO 47558229
school:47511753,28002622,realized,observed,FIN 2-01 PO account 672/673; school IČO 47511753
school:47558407,45613913,realized,observed,FIN 2-01 PO account 672/673; school IČO 47558407
school:47558415,91740825,realized,observed,FIN 2-01 PO account 672/673; school IČO 47558415
school:47558458,34180075,realized,observed,FIN 2-01 PO account 672/673; school IČO 47558458
school:47558504,49245465,realized,observed,FIN 2-01 PO account 672/673; school IČO 47558504
school:00640808,26831872,realized,observed,FIN 2-01 PO account 672/673; school IČO 00640808
school:70856303,8786909,realized,observed,FIN 2-01 PO account 672/673; school IČO 70856303
school:70841446,50693637,realized,observed,FIN 2-01 PO account 672/673; school IČO 70841446
school:70846375,8584949,realized,observed,FIN 2-01 PO account 672/673; school IČO 70846375
school:70845921,24496588,realized,observed,FIN 2-01 PO account 672/673; school IČO 70845921
school:70843376,5484200,realized,observed,FIN 2-01 PO account 672/673; school IČO 70843376
school:70107076,16802083,realized,observed,FIN 2-01 PO account 672/673; school IČO 70107076
