institution_id,ico,total_costs_amount,materials_amount,energy_amount,repairs_amount,services_amount,personnel_amount,depreciation_amount,other_costs_amount,basis,certainty,note
school:00176401,00176401,65875725,9305319,3375651,570794,2077833,44703478,3692453,2150197,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00177032,00177032,114289459,12756168,2709036,1897202,5518627,82709143,2479544,6219739,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00191051,00191051,47481268,932333,1813969,264173,1237074,41689337,92664,1451718,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00191086,00191086,30046550,2059395,2699412,649949,888290,22607289,30984,1111231,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00191191,00191191,63743435,5548667,4481672,523459,3194550,44531439,3435472,2028176,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00219321,00219321,148707347,10981689,3407558,3025489,9528596,107229213,6366975,8167827,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00226319,00226319,71022084,3766067,494633,756215,4258454,57274685,3013946,1458084,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00226327,00226327,19834028,341905,57652,113988,715528,18334801,37152,233002,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00226441,00226441,8461369,66939,112700,635,710230,7422198,69024,79643,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00226467,00226467,66871027,3655288,973933,678945,3280898,54725016,1572778,1984169,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00226475,00226475,172443650,9855614,3212759,953329,8554074,137954249,8464830,3448795,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00227901,00227901,50450703,3852900,1555486,711303,1788047,41724462,0,818505,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00300268,00300268,247476245,9749989,26358962,4420119,21820081,168093691,12480686,4552717,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
