institution_id,pedagogical_amount,nonpedagogical_amount,oniv_amount,other_amount,operations_amount,investment_amount,bucket_basis,bucket_certainty
school:70695296,4256602,412582,61173,1624876,0,0,allocated,observed
school:70985120,4236396,441954,45353,1628066,0,0,allocated,observed
school:70640131,4161407,517336,44787,1628202,0,0,allocated,observed
school:70990921,4213888,427511,88841,1615207,0,0,allocated,observed
school:70986363,4308663,343910,73020,1619096,0,0,allocated,observed
school:71004106,4240303,412321,67824,1619113,0,0,allocated,observed
school:75021544,4247522,405657,64973,1619307,0,0,allocated,observed
school:65082729,4327998,357653,16761,1630607,0,0,allocated,observed
school:62247832,4125047,514010,78596,1614392,0,0,allocated,observed
school:75023652,4155006,512319,36920,1624229,0,0,allocated,observed
school:71006176,4205942,448225,53722,1619650,0,0,allocated,observed
school:75029995,4134233,519845,52655,1619619,0,0,allocated,observed
school:60158247,4232898,393054,87624,1609832,0,0,allocated,observed
school:75020599,4212561,443208,45321,1620208,0,0,allocated,observed
school:70988200,4164852,481216,57820,1616832,0,0,allocated,observed
school:70840636,4518075,164891,6676,1629673,0,0,allocated,observed
school:75019337,4184861,429856,93709,1605921,0,0,allocated,observed
school:72741732,4187616,445717,52121,1612400,0,0,allocated,observed
school:70987653,4187261,456947,30804,1616184,0,0,allocated,observed
school:72743395,4225061,413139,38050,1614094,0,0,allocated,observed
school:75023580,4222826,378217,75454,1601163,0,0,allocated,observed
school:05607248,4200623,393054,85190,1598600,0,0,allocated,observed
school:70992908,4213000,413766,39267,1610115,0,0,allocated,observed
school:75030781,4207216,381729,82756,1596952,0,0,allocated,observed
school:71002707,4155325,449591,60938,1602511,0,0,allocated,observed
school:62695312,4477104,162860,12610,1614708,0,0,allocated,observed
school:47324147,4424340,214570,10750,1614341,0,0,allocated,observed
school:75033283,4262370,345909,51437,1603681,0,0,allocated,observed
school:70982678,4174136,445814,31785,1607743,0,0,allocated,observed
school:68911947,3974880,628726,52760,1602055,0,0,allocated,observed
school:49855263,4235058,343910,73020,1593481,0,0,allocated,observed
school:75023768,4154163,440073,45236,1598794,0,0,allocated,observed
school:70989451,4145188,444463,49687,1597199,0,0,allocated,observed
school:70986991,4244114,365965,21789,1604308,0,0,allocated,observed
school:70997888,4187714,393688,41018,1594328,0,0,allocated,observed
school:70989575,4079720,517674,18690,1599893,0,0,allocated,observed
school:72742445,4226110,345282,49419,1590844,0,0,allocated,observed
school:05984459,4148754,393054,82756,1580549,0,0,allocated,observed
