institution_id,institution_name,ico,founder_id,founder_name,founder_type,municipality,region
school:75023431,IČO 75023431,75023431,founder:00291994,Zřizovatel IČO 00291994,obec,,Jihomoravský
school:72741490,IČO 72741490,72741490,founder:00261858,Zřizovatel IČO 00261858,obec,,Ústecký
school:75007169,IČO 75007169,75007169,founder:00256641,Zřizovatel IČO 00256641,obec,,Plzeňský
school:75015846,IČO 75015846,75015846,founder:00276731,Zřizovatel IČO 00276731,obec,,Pardubický
school:75016575,IČO 75016575,75016575,founder:00653357,Zřizovatel IČO 00653357,obec,,Královéhradecký
school:70988323,IČO 70988323,70988323,founder:00637629,Zřizovatel IČO 00637629,obec,,Jihomoravský
school:71000151,IČO 71000151,71000151,founder:00245453,Zřizovatel IČO 00245453,obec,,Jihočeský
school:75019728,IČO 75019728,75019728,founder:00271420,Zřizovatel IČO 00271420,obec,,Královéhradecký
school:07227752,IČO 07227752,07227752,founder:00240991,Zřizovatel IČO 00240991,obec,,Středočeský
school:70989478,IČO 70989478,70989478,founder:00243001,Zřizovatel IČO 00243001,obec,,Středočeský
school:75021579,IČO 75021579,75021579,founder:00488364,Zřizovatel IČO 00488364,obec,,Jihomoravský
school:70995133,IČO 70995133,70995133,founder:00579459,Zřizovatel IČO 00579459,obec,,Pardubický
school:75157411,IČO 75157411,75157411,founder:00258091,Zřizovatel IČO 00258091,obec,,Plzeňský
school:71181709,IČO 71181709,71181709,founder:00255157,Zřizovatel IČO 00255157,obec,,Karlovarský
school:75023717,IČO 75023717,75023717,founder:00287610,Zřizovatel IČO 00287610,obec,,Zlínský
school:70188386,IČO 70188386,70188386,founder:00275484,Zřizovatel IČO 00275484,obec,,Královéhradecký
school:71011129,IČO 71011129,71011129,founder:00260657,Zřizovatel IČO 00260657,obec,,Liberecký
school:70985847,IČO 70985847,70985847,founder:00273058,Zřizovatel IČO 00273058,obec,,Královéhradecký
school:75148765,IČO 75148765,75148765,founder:43750648,Zřizovatel IČO 43750648,obec,,Středočeský
school:75033976,IČO 75033976,75033976,founder:00243132,Zřizovatel IČO 00243132,obec,,Středočeský
school:75017326,IČO 75017326,75017326,founder:00277258,Zřizovatel IČO 00277258,obec,,Pardubický
school:70987467,IČO 70987467,70987467,founder:00281883,Zřizovatel IČO 00281883,obec,,Jihomoravský
school:75000881,IČO 75000881,75000881,founder:00245429,Zřizovatel IČO 00245429,obec,,Jihočeský
school:70883556,IČO 70883556,70883556,founder:00573191,Zřizovatel IČO 00573191,obec,,Karlovarský
school:70881308,IČO 70881308,70881308,founder:00295311,Zřizovatel IČO 00295311,obec,,Vysočina
school:71004271,IČO 71004271,71004271,founder:00272094,Zřizovatel IČO 00272094,obec,,Královéhradecký
school:70987602,IČO 70987602,70987602,founder:00368733,Zřizovatel IČO 00368733,obec,,Jihomoravský
school:70156735,IČO 70156735,70156735,founder:00270725,Zřizovatel IČO 00270725,obec,,Pardubický
school:70981400,IČO 70981400,70981400,founder:00297241,Zřizovatel IČO 00297241,obec,,Moravskoslezský
school:70981671,IČO 70981671,70981671,founder:00300462,Zřizovatel IČO 00300462,obec,,Moravskoslezský
school:46070656,IČO 46070656,46070656,founder:00266621,Zřizovatel IČO 00266621,obec,,Ústecký
school:75023440,IČO 75023440,75023440,founder:00372030,Zřizovatel IČO 00372030,obec,,Jihomoravský
school:72742160,IČO 72742160,72742160,founder:00673374,Zřizovatel IČO 00673374,obec,,Liberecký
school:71005978,IČO 71005978,71005978,founder:00278475,Zřizovatel IČO 00278475,obec,,Královéhradecký
school:75026996,IČO 75026996,75026996,founder:00303682,Zřizovatel IČO 00303682,obec,,Olomoucký
school:71294716,IČO 71294716,71294716,founder:00238163,Zřizovatel IČO 00238163,obec,,Středočeský
school:71006958,IČO 71006958,71006958,founder:00283924,Zřizovatel IČO 00283924,obec,,Zlínský
school:21551383,IČO 21551383,21551383,founder:00236837,Zřizovatel IČO 00236837,obec,,Středočeský
school:71000925,IČO 71000925,71000925,founder:00271691,Zřizovatel IČO 00271691,obec,,Královéhradecký
school:75034352,IČO 75034352,75034352,founder:00238902,Zřizovatel IČO 00238902,obec,,Středočeský
school:75020611,IČO 75020611,75020611,founder:00568554,Zřizovatel IČO 00568554,obec,,Zlínský
school:70998469,IČO 70998469,70998469,founder:00248665,Zřizovatel IČO 00248665,obec,,Vysočina
school:75016257,IČO 75016257,75016257,founder:00276464,Zřizovatel IČO 00276464,obec,,Pardubický
school:70983143,IČO 70983143,70983143,founder:00262854,Zřizovatel IČO 00262854,obec,,Liberecký
school:71003444,IČO 71003444,71003444,founder:00270873,Zřizovatel IČO 00270873,obec,,Pardubický
school:70984620,IČO 70984620,70984620,founder:00292079,Zřizovatel IČO 00292079,obec,,Jihomoravský
school:71001956,IČO 71001956,71001956,founder:00239852,Zřizovatel IČO 00239852,obec,,Středočeský
school:70989982,IČO 70989982,70989982,founder:00277100,Zřizovatel IČO 00277100,obec,,Pardubický
school:71007911,IČO 71007911,71007911,founder:00237299,Zřizovatel IČO 00237299,obec,,Středočeský
school:75034816,IČO 75034816,75034816,founder:00241768,Zřizovatel IČO 00241768,obec,,Středočeský
school:70990476,IČO 70990476,70990476,founder:00253499,Zřizovatel IČO 00253499,obec,,Plzeňský
school:75021501,IČO 75021501,75021501,founder:00288284,Zřizovatel IČO 00288284,obec,,Olomoucký
school:71011684,IČO 71011684,71011684,founder:00294730,Zřizovatel IČO 00294730,obec,,Vysočina
school:75023466,IČO 75023466,75023466,founder:00285153,Zřizovatel IČO 00285153,obec,,Jihomoravský
school:70984905,IČO 70984905,70984905,founder:00278874,Zřizovatel IČO 00278874,obec,,Pardubický
school:70695113,IČO 70695113,70695113,founder:00524743,Zřizovatel IČO 00524743,obec,,Liberecký
school:09360379,IČO 09360379,09360379,founder:00263303,Zřizovatel IČO 00263303,obec,,Liberecký
school:75026368,IČO 75026368,75026368,founder:00562424,Zřizovatel IČO 00562424,obec,,Moravskoslezský
school:70989494,IČO 70989494,70989494,founder:00234419,Zřizovatel IČO 00234419,obec,,Středočeský
school:70991294,IČO 70991294,70991294,founder:00287105,Zřizovatel IČO 00287105,obec,,Zlínský
school:75022575,IČO 75022575,75022575,founder:00290815,Zřizovatel IČO 00290815,obec,,Zlínský
school:70988463,IČO 70988463,70988463,founder:00251054,Zřizovatel IČO 00251054,obec,,Jihočeský
school:70599882,IČO 70599882,70599882,founder:00303585,Zřizovatel IČO 00303585,obec,,Olomoucký
school:70990531,IČO 70990531,70990531,founder:00282031,Zřizovatel IČO 00282031,obec,,Jihomoravský
school:70941041,IČO 70941041,70941041,founder:00075370,Zřizovatel IČO 00075370,obec,,Plzeňský
school:75032937,IČO 75032937,75032937,founder:00236667,Zřizovatel IČO 00236667,obec,,Středočeský
school:75005972,IČO 75005972,75005972,founder:00258024,Zřizovatel IČO 00258024,obec,,Plzeňský
school:70993831,IČO 70993831,70993831,founder:00285404,Zřizovatel IČO 00285404,obec,,Jihomoravský
school:70989877,IČO 70989877,70989877,founder:00287156,Zřizovatel IČO 00287156,obec,,Zlínský
school:71001662,IČO 71001662,71001662,founder:00636886,Zřizovatel IČO 00636886,obec,,Jihomoravský
school:75005425,IČO 75005425,75005425,founder:00259870,Zřizovatel IČO 00259870,obec,,Plzeňský
school:71008713,IČO 71008713,71008713,founder:00600121,Zřizovatel IČO 00600121,obec,,Jihomoravský
school:75030900,IČO 75030900,75030900,founder:00239941,Zřizovatel IČO 00239941,obec,,Středočeský
school:75020751,IČO 75020751,75020751,founder:00290963,Zřizovatel IČO 00290963,obec,,Zlínský
school:70981850,IČO 70981850,70981850,founder:00271802,Zřizovatel IČO 00271802,obec,,Královéhradecký
school:70626561,IČO 70626561,70626561,founder:60609460,Olomoucký kraj,kraj,,Olomoucký
school:71294210,IČO 71294210,71294210,founder:00509124,Zřizovatel IČO 00509124,obec,,Středočeský
school:03258602,IČO 03258602,03258602,founder:00662984,Zřizovatel IČO 00662984,obec,,Středočeský
school:75015897,IČO 75015897,75015897,founder:00272841,Zřizovatel IČO 00272841,obec,,Královéhradecký
school:70918333,IČO 70918333,70918333,founder:00304280,Zřizovatel IČO 00304280,obec,,Zlínský
school:70992711,IČO 70992711,70992711,founder:00600687,Zřizovatel IČO 00600687,obec,,Moravskoslezský
school:75034972,IČO 75034972,75034972,founder:00243957,Zřizovatel IČO 00243957,obec,,Středočeský
school:75034841,IČO 75034841,75034841,founder:00242128,Zřizovatel IČO 00242128,obec,,Středočeský
school:75016494,IČO 75016494,75016494,founder:00276766,Zřizovatel IČO 00276766,obec,,Pardubický
school:70992436,IČO 70992436,70992436,founder:00242608,Zřizovatel IČO 00242608,obec,,Středočeský
school:06150144,IČO 06150144,06150144,founder:00574155,Zřizovatel IČO 00574155,obec,,Plzeňský
school:70989389,IČO 70989389,70989389,founder:00576263,Zřizovatel IČO 00576263,obec,,Olomoucký
school:75030705,IČO 75030705,75030705,founder:00236624,Zřizovatel IČO 00236624,obec,,Středočeský
school:73184284,IČO 73184284,73184284,founder:00636053,Zřizovatel IČO 00636053,obec,,Olomoucký
school:70983330,IČO 70983330,70983330,founder:00246018,Zřizovatel IČO 00246018,obec,,Jihočeský
school:75023385,IČO 75023385,75023385,founder:00288012,Zřizovatel IČO 00288012,obec,,Olomoucký
school:70984824,IČO 70984824,70984824,founder:00259438,Zřizovatel IČO 00259438,obec,,Karlovarský
school:70999643,IČO 70999643,70999643,founder:00295311,Zřizovatel IČO 00295311,obec,,Vysočina
school:75001136,IČO 75001136,75001136,founder:00250333,Zřizovatel IČO 00250333,obec,,Jihočeský
school:70978093,IČO 70978093,70978093,founder:00274682,Zřizovatel IČO 00274682,obec,,Královéhradecký
school:75001829,IČO 75001829,75001829,founder:00556025,Zřizovatel IČO 00556025,obec,,Ústecký
school:70940941,IČO 70940941,70940941,founder:00075370,Zřizovatel IČO 00075370,obec,,Plzeňský
school:70998990,IČO 70998990,70998990,founder:00511315,Zřizovatel IČO 00511315,obec,,Vysočina
school:75022281,IČO 75022281,75022281,founder:00288993,Zřizovatel IČO 00288993,obec,,Olomoucký
school:71012397,IČO 71012397,71012397,founder:00378691,Zřizovatel IČO 00378691,obec,,Vysočina
