institution_id,founder_id,amount,basis,certainty,attribution_method,source_document_kind,source_recipient_name,match_method,source_url,note
school:00638749,founder:00064581,12447000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Vyšší odborná škola zdravotnická a Střední zdravotnická škola a gymnázium, Praha 1, Alšovo nábřeží 6",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00638765,founder:00064581,7516000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Střední zdravotnická škola,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00638846,founder:00064581,5519000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Střední odborné učiliště, Praha - Radotín",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00638871,founder:00064581,8609000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Střední odborná škola a Střední odborné učiliště, Praha - Čakovice",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00639028,founder:00064581,4041000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Střední odborné učiliště kadeřnické, Praha 8, Karlínské nám. 8/225",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00639133,founder:00064581,17109000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Střední škola elektrotechniky a strojírenství,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00639494,founder:00064581,5173000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Střední odborná škola civilního letectví, Praha - Ruzyně",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00639516,founder:00064581,4052000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Střední odborná škola logistiky a podnikání,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:14891212,founder:00064581,32001000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Střední odborná škola - Centrum odborné přípravy a Gymnázium,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:14891239,founder:00064581,14032000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Střední průmyslová škola na Proseku,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
